track_id,track_title,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
167,"Mine - POP Mix","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,230546,49,0.696,0.00461,0.768,0.00000121,0.101,-3.863,0.0308,121.05,4
168,"Sparks Fly","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,260946,57,0.608,0.0387,0.785,0,0.158,-2.976,0.0311,114.985,4
169,"Back To December","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,293040,66,0.517,0.0202,0.606,0,0.324,-5.797,0.0289,141.929,4
170,"Speak Now","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,240773,55,0.708,0.101,0.601,0,0.0979,-3.75,0.0306,118.962,4
171,"Dear John","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,403887,58,0.583,0.183,0.468,0.00000165,0.111,-5.378,0.0278,119.375,3
172,Mean,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,237746,59,0.57,0.445,0.747,0,0.219,-3.978,0.0426,164.004,4
173,"The Story Of Us","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,265636,52,0.575,0.000315,0.855,0.00161,0.0419,-4.827,0.0467,139.92,4
174,"Never Grow Up","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,290480,50,0.715,0.829,0.308,0,0.16,-8.829,0.0305,124.899,4
175,Enchanted,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,352200,73,0.535,0.0716,0.618,0.000388,0.169,-3.913,0.0273,81.975,4
176,"Better Than Revenge","Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,217173,59,0.519,0.0167,0.917,0.0000206,0.359,-3.185,0.0887,145.882,4
177,Innocent,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,302266,49,0.553,0.202,0.604,0,0.125,-5.295,0.0258,133.989,4
