track_id,track_title,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
129,"gold rush","evermore (deluxe version)","Taylor Swift",2021-01-07,185320,64,0.512,0.83,0.462,0.166,0.121,-10.491,0.0408,112.05,4
130,"â€˜tis the damn season","evermore (deluxe version)","Taylor Swift",2021-01-07,229840,63,0.575,0.735,0.434,0.0000659,0.105,-8.193,0.0312,145.916,4
131,"tolerate it","evermore (deluxe version)","Taylor Swift",2021-01-07,245440,63,0.316,0.878,0.361,0.0000267,0.0797,-10.381,0.0488,74.952,5
132,"no body, no crime (feat. HAIM)","evermore (deluxe version)","Taylor Swift",2021-01-07,215626,63,0.546,0.418,0.613,0,0.103,-7.589,0.0264,79.015,4
133,happiness,"evermore (deluxe version)","Taylor Swift",2021-01-07,315146,62,0.559,0.87,0.334,0,0.114,-10.733,0.0376,122.079,4
134,"Mr. Perfectly Fine (Taylor's Version) (From The Vault)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,277591,68,0.66,0.162,0.817,0,0.0667,-6.269,0.0521,135.942,4
135,"We Were Happy (Taylor's Version) (From The Vault)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,244236,62,0.609,0.849,0.373,0,0.0779,-8.819,0.0263,106.007,4
136,dorothea,"evermore (deluxe version)","Taylor Swift",2021-01-07,225880,61,0.605,0.696,0.488,0,0.129,-8.322,0.0264,119.966,4
137,"That's When (feat. Keith Urban) (Taylor's Version) (From The Vault)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,189495,65,0.588,0.225,0.608,0,0.092,-7.062,0.0365,90.201,4
138,"coney island (feat. The National)","evermore (deluxe version)","Taylor Swift",2021-01-07,275320,62,0.537,0.819,0.537,0.000904,0.142,-11.266,0.0617,107.895,4
139,"Don't You (Taylor's Version) (From The Vault)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,208608,64,0.563,0.514,0.473,0.000012,0.109,-11.548,0.0503,101.934,4
140,ivy,"evermore (deluxe version)","Taylor Swift",2021-01-07,260440,63,0.515,0.855,0.545,0.0000197,0.0921,-9.277,0.0353,88.856,4
141,"cowboy like me","evermore (deluxe version)","Taylor Swift",2021-01-07,275040,62,0.604,0.768,0.517,0.000155,0.123,-9.014,0.0347,127.967,4
142,"Bye Bye Baby (Taylor's Version) (From The Vault)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,242157,62,0.624,0.334,0.624,0,0.0995,-7.86,0.0539,80.132,4
143,"long story short","evermore (deluxe version)","Taylor Swift",2021-01-07,215920,62,0.546,0.66,0.73,0.179,0.0972,-7.704,0.0417,157.895,4
144,"...Ready For It?",reputation,"Taylor Swift",2017-11-10,208186,74,0.613,0.0527,0.764,0,0.197,-6.509,0.136,160.015,4
145,marjorie,"evermore (deluxe version)","Taylor Swift",2021-01-07,257773,60,0.535,0.876,0.561,0.000136,0.115,-11.609,0.0484,96.103,4
146,"End Game",reputation,"Taylor Swift",2017-11-10,244826,73,0.649,0.00845,0.589,0,0.108,-6.237,0.0558,159.073,4
147,"I Did Something Bad",reputation,"Taylor Swift",2017-11-10,238253,75,0.696,0.0679,0.602,0.0000211,0.0696,-6.156,0.159,82.989,4
148,closure,"evermore (deluxe version)","Taylor Swift",2021-01-07,180653,59,0.689,0.835,0.704,0.00000483,0.134,-10.813,0.245,151.884,5
149,"evermore (feat. Bon Iver)","evermore (deluxe version)","Taylor Swift",2021-01-07,304106,61,0.39,0.937,0.27,0.00227,0.111,-10.673,0.0308,125.177,5
150,"Don't Blame Me",reputation,"Taylor Swift",2017-11-10,236413,88,0.615,0.106,0.534,0.0000176,0.0607,-6.719,0.0386,135.917,4
151,"right where you left me - bonus track","evermore (deluxe version)","Taylor Swift",2021-01-07,245026,76,0.581,0.769,0.619,0.000106,0.117,-6.524,0.0282,137.915,4
152,Delicate,reputation,"Taylor Swift",2017-11-10,232253,77,0.75,0.216,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
153,"it's time to go - bonus track","evermore (deluxe version)","Taylor Swift",2021-01-07,254640,66,0.592,0.801,0.41,0.0000139,0.09,-12.426,0.0397,151.923,4
154,"Look What You Made Me Do",reputation,"Taylor Swift",2017-11-10,211853,79,0.766,0.204,0.709,0.0000141,0.126,-6.471,0.123,128.07,4
155,"I Don't Wanna Live Forever (Fifty Shades Darker)","reputation Stadium Tour Surprise Song Playlist","Taylor Swift",2017-11-09,247160,79,0.731,0.0586,0.445,0.0000196,0.14,-8.418,0.0533,117.97,4
156,"So It Goes...",reputation,"Taylor Swift",2017-11-10,227906,66,0.574,0.122,0.61,0.0000011,0.13,-7.283,0.0732,74.957,4
157,Gorgeous,reputation,"Taylor Swift",2017-11-10,209680,76,0.8,0.0713,0.535,0.00000948,0.213,-6.684,0.135,92.027,4
158,"This Love (Taylor's Version)","This Love (Taylor's Version)","Taylor Swift",2022-05-06,250100,81,0.47,0.302,0.494,0,0.0672,-8.672,0.0349,144.039,4
159,"Wildest Dreams (Taylor's Version)","This Love (Taylor's Version)","Taylor Swift",2022-05-06,220433,65,0.587,0.0354,0.663,0.0000906,0.0902,-7.423,0.0599,139.99,4
160,"Getaway Car",reputation,"Taylor Swift",2017-11-10,233626,79,0.562,0.00465,0.689,0.00000223,0.0888,-6.745,0.127,172.054,4
161,"King Of My Heart",reputation,"Taylor Swift",2017-11-10,214320,71,0.675,0.00882,0.703,0.00000221,0.0391,-7.902,0.0382,110.01,4
162,"Dancing With Our Hands Tied",reputation,"Taylor Swift",2017-11-10,211506,70,0.624,0.0604,0.691,0.000011,0.138,-6.686,0.196,160.024,4
163,Dress,reputation,"Taylor Swift",2017-11-10,230373,72,0.719,0.0329,0.469,0,0.169,-8.792,0.0533,120.085,4
164,"This Is Why We Can't Have Nice Things",reputation,"Taylor Swift",2017-11-10,207133,69,0.567,0.0156,0.789,0,0.382,-5.986,0.115,163.96,4
165,"Call It What You Want",reputation,"Taylor Swift",2017-11-10,203506,72,0.598,0.186,0.504,0.000221,0.34,-9.874,0.0731,163.954,4
166,"New Year's Day",reputation,"Taylor Swift",2017-11-10,235466,67,0.661,0.921,0.151,0,0.13,-12.864,0.0354,94.922,4
